clade,maxN,outgroup,outgroupLoc
B1-11,65000,AFT-21-06837-21,s3://s3-csu-003/v3-2/Results_NB501786_0361_24Jun22/
B2-11,65000,AF-12-01357-20,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
B3-11,62000,AFT-21-06837-21,s3://s3-csu-003/v3-2/Results_NB501786_0361_24Jun22/
B4-11,63000,AF-61-00379-18,s3://s3-csu-003/v3-2/Results_10102_28Jun22/
B5-11,68000,AF-12-01357-20,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
B5-11new,68000,AF-12-01357-20,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
B5-12,68000,AF-12-01357-20,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
B6-11,69000,AF-61-03263-17,s3://s3-csu-003/v3-2/Results_10062_27Jun22/
B6-12,62000,AF-21-06026-18,s3://s3-csu-003/v3-2/Results_10100_28Jun22/
B6-13,62000,AF-61-03263-17,s3://s3-csu-003/v3-2/Results_10062_27Jun22/
B6-14,62000,AF-21-06026-18,s3://s3-csu-003/v3-2/Results_10100_28Jun22/
B6-15,62000,AFT-61-00566-22,s3://s3-csu-003/v3-2/Results_NB552234_0122_24Jun22/
B6-16,62000,AFT-21-05881-21,s3://s3-csu-003/v3-2/Results_NB552234_0069_24Jun22/
B6-21,66000,AF-61-00479-18,s3://s3-csu-003/v3-2/Results_10101_28Jun22/
B6-22,62000,AF-21-03418-15,s3://s3-csu-003/v3-2/Results_10212_25Jun22/
B6-23,68000,AF-21-03418-15,s3://s3-csu-003/v3-2/Results_10212_25Jun22/
B6-31,62000,AF-21-03418-15,s3://s3-csu-003/v3-2/Results_10212_25Jun22/
B6-41,62000,AF-21-05873-20,s3://s3-csu-003/v3-2/Results_10288_25Jun22/
B6-42,64000,AF-21-05839-18,s3://s3-csu-003/v3-2/Results_10102_28Jun22/
B6-51,62000,AF-21-06995-18,s3://s3-csu-003/v3-2/Results_10118a_25Jun22/
B6-51split,62000,AF-21-06995-18,s3://s3-csu-003/v3-2/Results_10118a_25Jun22/
B6-52,62000,AF-21-00819-17,s3://s3-csu-003/v3-2/Results_10054_27Jun22/
B6-52split,62000,AF-21-00819-17,s3://s3-csu-003/v3-2/Results_10054_27Jun22/
B6-61,63000,AF-61-00017-19,s3://s3-csu-003/v3-2/Results_10154_28Jun22/
B6-62,62000,AF-12-00295-18,s3://s3-csu-003/v3-2/Results_10078_28Jun22/
B6-71,70000,AF-12-00295-18,s3://s3-csu-003/v3-2/Results_10078_28Jun22/
B6-81,64000,AF-21-05744-19,s3://s3-csu-003/v3-2/Results_10184_28Jun22/
B6-82,68000,AF-21-05744-19,s3://s3-csu-003/v3-2/Results_10184_28Jun22/
B6-83,62000,AF-21-06613-17,s3://s3-csu-003/v3-2/Results_10049_27Jun22/
B6-84a,64000,AF-21-05744-19,s3://s3-csu-003/v3-2/Results_10184_28Jun22/
B6-84b,64000,AF-21-05744-19,s3://s3-csu-003/v3-2/Results_10184_28Jun22/
B6-85,64000,AF-21-05744-19,s3://s3-csu-003/v3-2/Results_10184_28Jun22/
B6-86,66000,AF-21-05744-19,s3://s3-csu-003/v3-2/Results_10184_28Jun22/
B6-87,62000,AF-21-05744-19,s3://s3-csu-003/v3-2/Results_10184_28Jun22/
B6-91,62000,AF-61-00017-19,s3://s3-csu-003/v3-2/Results_10154_28Jun22/
B6-91new,62000,AF-61-00017-19,s3://s3-csu-003/v3-2/Results_10154_28Jun22/
B6-92,62000,AF-61-00017-19,s3://s3-csu-003/v3-2/Results_10154_28Jun22/
C1-11,80000,AF-12-01357-20,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
C1-12,80000,AF-12-01357-20,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
C1-13,80000,AF-12-01357-20,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
C1-14,80000,AF-12-01357-20,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
C2-11,80000,AF-12-01357-20,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
C2-12,80000,AF-12-01357-20,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
C2-13,80000,AF-12-01357-20,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
C2-14,80000,AF-12-01357-20,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
Microti,100000,AF-12-01357-20,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
NA,80000,AF-12-01357-20,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
