Submission,Exclusion
001,identifiedOutlier
01-0603020,identifiedOutlier
01-0603351,identifiedOutlier
02-0602811,identifiedOutlier
02-0603154,identifiedOutlier
035,identifiedOutlier
04-0602042,identifiedOutlier
04-0605793,identifiedOutlier
049,identifiedOutlier
06,identifiedOutlier
0622896,identifiedOutlier
0c7c8dab,identifiedOutlier
1023,identifiedOutlier
1024,identifiedOutlier
107787,identifiedOutlier
1081,identifiedOutlier
110,identifiedOutlier
113,identifiedOutlier
122-,identifiedOutlier
13-11-17,identifiedOutlier
14609132,identifiedOutlier
165727,identifiedOutlier
1730,identifiedOutlier
1731,identifiedOutlier
1732,identifiedOutlier
1733,identifiedOutlier
1734,identifiedOutlier
1736,identifiedOutlier
1856,identifiedOutlier
19-0601920,identifiedOutlier
2122-87,identifiedOutlier
2174,identifiedOutlier
2176,identifiedOutlier
2186,identifiedOutlier
2187,identifiedOutlier
2193,identifiedOutlier
2196,identifiedOutlier
22-0621327,identifiedOutlier
2248,identifiedOutlier
2249,identifiedOutlier
225,identifiedOutlier
23-,identifiedOutlier
2309,identifiedOutlier
2310,identifiedOutlier
2311,identifiedOutlier
2312,identifiedOutlier
2314,identifiedOutlier
2315,identifiedOutlier
2316,identifiedOutlier
248,identifiedOutlier
254169,identifiedOutlier
256,identifiedOutlier
261,identifiedOutlier
26585,identifiedOutlier
288-278-84,identifiedOutlier
288278,identifiedOutlier
293,identifiedOutlier
297,identifiedOutlier
3031,identifiedOutlier
308,identifiedOutlier
31,identifiedOutlier
32,identifiedOutlier
337,identifiedOutlier
338,identifiedOutlier
338,identifiedOutlier
349,identifiedOutlier
35,identifiedOutlier
36,identifiedOutlier
37,identifiedOutlier
381,identifiedOutlier
382,identifiedOutlier
392,identifiedOutlier
397,identifiedOutlier
402,identifiedOutlier
403,identifiedOutlier
41,identifiedOutlier
42,identifiedOutlier
43,identifiedOutlier
449,identifiedOutlier
46141,identifiedOutlier
47-TIKA,identifiedOutlier
514,identifiedOutlier
524,identifiedOutlier
541,identifiedOutlier
541,identifiedOutlier
5591,identifiedOutlier
5683,identifiedOutlier
5702,identifiedOutlier
601278,identifiedOutlier
605238,identifiedOutlier
606,identifiedOutlier
606726,identifiedOutlier
609040,identifiedOutlier
610308,identifiedOutlier
613857,identifiedOutlier
616,identifiedOutlier
622,identifiedOutlier
624052,identifiedOutlier
62C,identifiedOutlier
62L,identifiedOutlier
6790,identifiedOutlier
7073,identifiedOutlier
77,identifiedOutlier
774,identifiedOutlier
782,identifiedOutlier
808,identifiedOutlier
817,identifiedOutlier
889,identifiedOutlier
9353,identifiedOutlier
947,identifiedOutlier
99532,identifiedOutlier
A-Rowan,identifiedOutlier
A08-9706,identifiedOutlier
A09,identifiedOutlier
A09-6759,identifiedOutlier
A10-6261,identifiedOutlier
A12,identifiedOutlier
A13,identifiedOutlier
A15,identifiedOutlier
A17,identifiedOutlier
A19,identifiedOutlier
A20,identifiedOutlier
A21,identifiedOutlier
A22,identifiedOutlier
A23,identifiedOutlier
AF-12-00017-21,identifiedOutlier
AF-12-00091-24,identifiedOutlier
AF-12-00123-21,notMbovis
AF-12-00189-21,notMbovis
AF-12-00197-21,notMbovis
AF-12-00222-21,notMbovis
AF-12-00254-21,notMbovis
AF-12-00385-21,identifiedOutlier
AF-12-00390-20,identifiedOutlier
AF-12-00514-20,identifiedOutlier
AF-12-00701-22,identifiedOutlier
AF-12-01301-20,impureCulture
AF-12-01305-20,impureCulture
AF-12-01306-20,impureCulture
AF-12-01313-20,impureCulture
AF-12-01315-20,impureCulture
AF-12-01316-20,identifiedOutlier
AF-12-01356-20,lowQualityData
AF-12-01357-20,identifiedOutlier
AF-12-01368-20,impureCulture
AF-12-01370-20,lowQualityData
AF-12-01375-20,lowQualityData
AF-12-01404-23,identifiedOutlier
AF-12-01409-20,impureCulture
AF-12-01452-22,identifiedOutlier
AF-12-01601-19,identifiedOutlier
AF-12-01678-20,identifiedOutlier
AF-12-01685-20,identifiedOutlier
AF-12-01695-20,identifiedOutlier
AF-12-01700-20,identifiedOutlier
AF-12-01701-20,identifiedOutlier
AF-12-01704-16,identifiedOutlier
AF-16-01816-14,identifiedOutlier
AF-16-03521-03,identifiedOutlier
AF-21-00001-18,identifiedOutlier
AF-21-00026-20,identifiedOutlier
AF-21-00041-21,identifiedOutlier
AF-21-00255-18,identifiedOutlier
AF-21-00287-19,identifiedOutlier
AF-21-00305-22,identifiedOutlier
AF-21-00353-20,identifiedOutlier
AF-21-00358-21,identifiedOutlier
AF-21-00427-20,identifiedOutlier
AF-21-00541-21,identifiedOutlier
AF-21-00604-20,identifiedOutlier
AF-21-05031-22,identifiedOutlier
AF-21-05083-22,identifiedOutlier
AF-21-05084-22,identifiedOutlier
AF-21-05085-22,identifiedOutlier
AF-21-05087-21,notMbovis
AF-21-05090-21,identifiedOutlier
AF-21-05103-21,notMbovis
AF-21-05109-21,notMbovis
AF-21-05111-21,notMbovis
AF-21-05116-21,notMbovis
AF-21-05119-21,notMbovis
AF-21-05121-21,notMbovis
AF-21-05129-21,lowQualityData
AF-21-05134-21,notMbovis
AF-21-05134-22,identifiedOutlier
AF-21-05142-21,notMbovis
AF-21-05154-21,impureCulture
AF-21-05160-20,identifiedOutlier
AF-21-05170-21,notMbovis
AF-21-05189-21,notMbovis
AF-21-05192-21,impureCulture
AF-21-05195-21,lowQualityData
AF-21-05197-21,lowQualityData
AF-21-05201-21,notMbovis
AF-21-05204-24,identifiedOutlier
AF-21-05206-23,identifiedOutlier
AF-21-05239-23,identifiedOutlier
AF-21-05262-21,notMbovis
AF-21-05323-21,identifiedOutlier
AF-21-05329-18,identifiedOutlier
AF-21-05360-22,identifiedOutlier
AF-21-05525-18,identifiedOutlier
AF-21-05552-18,identifiedOutlier
AF-21-05610-21,identifiedOutlier
AF-21-05610-22,identifiedOutlier
AF-21-05645-19,identifiedOutlier
AF-21-05705-18,identifiedOutlier
AF-21-05742-21,identifiedOutlier
AF-21-05750-20,identifiedOutlier
AF-21-05762-21,identifiedOutlier
AF-21-05775-20,notMbovis
AF-21-05776-20,notMbovis
AF-21-05794-24,identifiedOutlier
AF-21-05804-19,identifiedOutlier
AF-21-05815-20,notMbovis
AF-21-05816-20,notMbovis
AF-21-05823-20,notMbovis
AF-21-05841-20,impureCulture
AF-21-05844-20,identifiedOutlier
AF-21-05870-20,impureCulture
AF-21-05898-24,identifiedOutlier
AF-21-05910-22,identifiedOutlier
AF-21-05960-22,identifiedOutlier
AF-21-05976-24,identifiedOutlier
