Submission,name,GenomeCov,MeanDepth,pcMapped,group,Ncount,ResultLoc,Clade,Identifier,Host,Animal_Type,SlaughterDate,PreciseLocation,CPH_Type,County,RiskArea,Loc0,OutsideHomeRange,Gender,wsdBirthDate,Disclosing_Test,Import_Country,PreviousMovement,MoveCount
AF-12-00223-21,AF-12-00223-21,99.73,94.82,98.87,B3-11,51511,s3://s3-csu-003/v3-2/Results_10309_27Jun22/,,,,,,,,,,,,,,,,,
AF-12-00224-21,AF-12-00224-21,99.74,68.22,96.45,B3-11,51291,s3://s3-csu-003/v3-2/Results_10309_27Jun22/,,,,,,,,,,,,,,,,,
AF-12-00232-21,AF-12-00232-21,99.73,102.99,99.69,B3-11,51283,s3://s3-csu-003/v3-2/Results_10309_27Jun22/,,,,,,,,,,,,,,,,,
AF-12-00234-21,AF-12-00234-21,99.73,116.84,99.52,B3-11,51236,s3://s3-csu-003/v3-2/Results_10309_27Jun22/,,,,,,,,,,,,,,,,,
AF-12-00236-21,AF-12-00236-21,99.74,80.31,94.38,B3-11,51276,s3://s3-csu-003/v3-2/Results_10309_27Jun22/,,,,,,,,,,,,,,,,,
AF-12-01281-20,AF-12-01281-20,99.9,100.86,98.84,B3-11,51353,s3://s3-csu-003/v3-2/Results_10287_27Jun22/,,,,,,,,,,,,,,,,,
AF-12-01340-20,AF-12-01340-20,99.73,137.25,99.06,B3-11,51226,s3://s3-csu-003/v3-2/Results_10287_27Jun22/,,,,,,,,,,,,,,,,,
AF-12-01342-20,AF-12-01342-20,99.95,101.17,96.06,B3-11,51109,s3://s3-csu-003/v3-2/Results_10287_27Jun22/,,,,,,,,,,,,,,,,,
AF-21-05084-21,AF-21-05084-21,99.67,54.48,98.6,B3-11,51447,s3://s3-csu-003/v3-2/Results_10309_27Jun22/,,,,,,,,,,,,,,,,,
AF-21-05143-21,AF-21-05143-21,99.71,62.17,98.34,B3-11,51308,s3://s3-csu-003/v3-2/Results_10309_27Jun22/,,,,,,,,,,,,,,,,,
AF-21-05802-20,AF-21-05802-20,99.7,97.63,99.46,B3-11,51260,s3://s3-csu-003/v3-2/Results_10287_27Jun22/,,,,,,,,,,,,,,,,,
AF-61-03513-20,AF-61-03513-20,99.72,138.98,99.53,B3-11,51284,s3://s3-csu-003/v3-2/Results_10287_27Jun22/,,,,,,,,,,,,,,,,,
AF-61-03644-20,AF-61-03644-20,99.71,130.14,99.15,B3-11,51452,s3://s3-csu-003/v3-2/Results_10287_27Jun22/,,,,,,,,,,,,,,,,,
