snp-dists 0.8.2,AF-21-05773-20,AF-21-05801-20,AF-21-06613-17,AFH2-21-05540-20
AF-21-05773-20,0,19,107,28
AF-21-05801-20,19,0,100,21
AF-21-06613-17,107,100,0,99
AFH2-21-05540-20,28,21,99,0
