snp-dists 0.8.2,AF-21-07356-17a,AF-21-07392-17,AF-61-00017-19,AF-61-03236-17
AF-21-07356-17a,0,0,151,12
AF-21-07392-17,0,0,151,12
AF-61-00017-19,151,151,0,155
AF-61-03236-17,12,12,155,0
