snp-dists 0.8.2,AF-21-05096-21,AF-21-05141-21,AF-21-05187-21,AF-21-05234-21,AF-21-05772-20,AF-21-05791-20,AF-21-06995-18
AF-21-05096-21,0,30,15,24,11,25,113
AF-21-05141-21,30,0,27,26,23,21,115
AF-21-05187-21,15,27,0,21,8,22,110
AF-21-05234-21,24,26,21,0,17,23,111
AF-21-05772-20,11,23,8,17,0,18,106
AF-21-05791-20,25,21,22,23,18,0,110
AF-21-06995-18,113,115,110,111,106,110,0
