snp-dists 0.8.2,AF-21-00921-17,AF-21-07302-17,AF-21-07377-17,AF-21-07391-17,AF-21-07418-17,AF-21-07429-17,AF-61-00379-18,AF-61-03266-17
AF-21-00921-17,0,11,13,14,19,11,412,18
AF-21-07302-17,11,0,12,13,20,10,413,17
AF-21-07377-17,13,12,0,13,22,6,415,19
AF-21-07391-17,14,13,13,0,23,11,416,20
AF-21-07418-17,19,20,22,23,0,20,421,27
AF-21-07429-17,11,10,6,11,20,0,411,17
AF-61-00379-18,412,413,415,416,421,411,0,412
AF-61-03266-17,18,17,19,20,27,17,412,0
