snp-dists 0.8.2,AF-21-00979-17a,AF-21-00981-17,AF-21-00982-17,AF-21-00984-17,AF-21-00985-17,AF-21-00988-17,AF-21-05744-19,AF-21-07292-17,AF-21-07298-17,AF-21-07313-17a,AF-21-07348-17,AF-21-07349-17,AF-21-07360-17,AF-21-07363-17b,AF-21-07383-17,AF-21-07389-17,AF-21-07393-17,AF-21-07403-17,AF-21-07410-17,AF-21-07411-17,AF-21-07413-17,AF-21-07440-17,AF-21-07496-17,AF-21-07507-17,AF-21-07557-17,C16-8035
AF-21-00979-17a,0,28,16,28,28,28,116,32,26,28,24,28,33,23,18,25,22,10,27,31,28,31,21,31,28,16
AF-21-00981-17,28,0,26,18,18,34,122,22,30,18,14,18,23,27,28,15,12,24,17,21,18,21,31,21,18,26
AF-21-00982-17,16,26,0,26,26,26,114,30,24,26,22,26,31,21,10,23,20,12,25,29,26,29,15,29,26,10
AF-21-00984-17,28,18,26,0,14,34,122,18,30,14,14,6,19,27,28,11,8,24,13,17,14,17,31,17,18,26
AF-21-00985-17,28,18,26,14,0,34,122,18,30,14,14,14,15,27,28,11,6,24,13,17,10,15,31,13,18,26
AF-21-00988-17,28,34,26,34,34,0,118,38,32,34,30,34,39,29,28,31,28,24,33,37,34,37,31,37,34,26
AF-21-05744-19,116,122,114,122,122,118,0,126,120,122,118,122,127,117,116,119,116,112,121,125,122,125,119,125,122,114
AF-21-07292-17,32,22,30,18,18,38,126,0,34,18,18,18,23,31,32,15,12,28,17,13,18,21,35,21,22,30
AF-21-07298-17,26,30,24,30,30,32,120,34,0,30,26,30,35,23,26,27,24,22,29,33,30,33,29,33,30,24
AF-21-07313-17a,28,18,26,14,14,34,122,18,30,0,14,14,19,27,28,11,8,24,7,17,14,17,31,17,18,26
AF-21-07348-17,24,14,22,14,14,30,118,18,26,14,0,14,19,23,24,11,8,20,13,17,14,17,27,17,14,22
AF-21-07349-17,28,18,26,6,14,34,122,18,30,14,14,0,19,27,28,11,8,24,13,17,14,17,31,17,18,26
AF-21-07360-17,33,23,31,19,15,39,127,23,35,19,19,19,0,32,33,16,11,29,18,22,15,20,36,18,23,31
AF-21-07363-17b,23,27,21,27,27,29,117,31,23,27,23,27,32,0,23,24,21,19,26,30,27,30,26,30,27,21
AF-21-07383-17,18,28,10,28,28,28,116,32,26,28,24,28,33,23,0,25,22,14,27,31,28,31,17,31,28,12
AF-21-07389-17,25,15,23,11,11,31,119,15,27,11,11,11,16,24,25,0,5,21,10,14,11,14,28,14,15,23
AF-21-07393-17,22,12,20,8,6,28,116,12,24,8,8,8,11,21,22,5,0,18,7,11,6,9,25,9,12,20
AF-21-07403-17,10,24,12,24,24,24,112,28,22,24,20,24,29,19,14,21,18,0,23,27,24,27,17,27,24,12
AF-21-07410-17,27,17,25,13,13,33,121,17,29,7,13,13,18,26,27,10,7,23,0,16,13,16,30,16,17,25
AF-21-07411-17,31,21,29,17,17,37,125,13,33,17,17,17,22,30,31,14,11,27,16,0,17,20,34,20,21,29
AF-21-07413-17,28,18,26,14,10,34,122,18,30,14,14,14,15,27,28,11,6,24,13,17,0,15,31,13,18,26
AF-21-07440-17,31,21,29,17,15,37,125,21,33,17,17,17,20,30,31,14,9,27,16,20,15,0,34,18,21,29
AF-21-07496-17,21,31,15,31,31,31,119,35,29,31,27,31,36,26,17,28,25,17,30,34,31,34,0,34,31,15
AF-21-07507-17,31,21,29,17,13,37,125,21,33,17,17,17,18,30,31,14,9,27,16,20,13,18,34,0,21,29
AF-21-07557-17,28,18,26,18,18,34,122,22,30,18,14,18,23,27,28,15,12,24,17,21,18,21,31,21,0,26
C16-8035,16,26,10,26,26,26,114,30,24,26,22,26,31,21,12,23,20,12,25,29,26,29,15,29,26,0
