snp-dists 0.8.2,AF-21-05107-21,AF-21-05191-21,AF-21-05267-21,AFT-61-00566-22
AF-21-05107-21,0,20,25,107
AF-21-05191-21,20,0,23,105
AF-21-05267-21,25,23,0,110
AFT-61-00566-22,107,105,110,0
