snp-dists 0.8.2,61-1121-01,AF-12-01762-17,AF-12-01806-17,AF-12-01817-17,AF-12-01871-17,AF-21-00974-17,AF-21-01006-17,AF-21-01007-17,AF-21-01008-17,AF-21-07353-17,AF-21-07361-17,AF-21-07369-17,AF-21-07390-17,AF-21-07396-17,AF-21-07417-17,AF-21-07455-17,AF-21-07478-17,AF-21-07501-17,AF-21-07529-17,AF-61-03118-17,AF-61-03246-17,AF-61-03263-17
61-1121-01,0,25,30,22,18,19,9,10,9,10,9,27,24,26,20,17,29,15,28,29,26,94
AF-12-01762-17,25,0,7,33,29,30,30,31,30,29,28,10,39,37,31,36,4,36,43,14,41,105
AF-12-01806-17,30,7,0,38,34,35,35,36,35,34,33,15,44,42,36,41,11,41,48,19,46,110
AF-12-01817-17,22,33,38,0,8,9,27,28,27,26,25,35,36,32,10,33,37,33,40,37,38,102
AF-12-01871-17,18,29,34,8,0,5,23,24,23,22,21,31,32,28,6,29,33,29,36,33,34,98
AF-21-00974-17,19,30,35,9,5,0,24,25,24,23,22,32,33,29,7,30,34,30,37,34,35,99
AF-21-01006-17,9,30,35,27,23,24,0,5,0,15,14,32,29,31,25,22,34,14,33,34,31,99
AF-21-01007-17,10,31,36,28,24,25,5,0,5,16,15,33,30,32,26,23,35,15,34,35,32,100
AF-21-01008-17,9,30,35,27,23,24,0,5,0,15,14,32,29,31,25,22,34,14,33,34,31,99
AF-21-07353-17,10,29,34,26,22,23,15,16,15,0,13,31,28,30,24,21,33,21,32,33,30,98
AF-21-07361-17,9,28,33,25,21,22,14,15,14,13,0,30,27,29,23,12,32,20,31,32,29,97
AF-21-07369-17,27,10,15,35,31,32,32,33,32,31,30,0,41,39,33,38,14,38,45,16,43,107
AF-21-07390-17,24,39,44,36,32,33,29,30,29,28,27,41,0,40,34,35,43,35,42,43,40,108
AF-21-07396-17,26,37,42,32,28,29,31,32,31,30,29,39,40,0,30,37,41,37,44,41,42,106
AF-21-07417-17,20,31,36,10,6,7,25,26,25,24,23,33,34,30,0,31,35,31,38,35,36,100
AF-21-07455-17,17,36,41,33,29,30,22,23,22,21,12,38,35,37,31,0,40,28,37,40,37,103
AF-21-07478-17,29,4,11,37,33,34,34,35,34,33,32,14,43,41,35,40,0,40,47,18,45,109
AF-21-07501-17,15,36,41,33,29,30,14,15,14,21,20,38,35,37,31,28,40,0,39,40,37,105
AF-21-07529-17,28,43,48,40,36,37,33,34,33,32,31,45,42,44,38,37,47,39,0,47,44,110
AF-61-03118-17,29,14,19,37,33,34,34,35,34,33,32,16,43,41,35,40,18,40,47,0,45,109
AF-61-03246-17,26,41,46,38,34,35,31,32,31,30,29,43,40,42,36,37,45,37,44,45,0,110
AF-61-03263-17,94,105,110,102,98,99,99,100,99,98,97,107,108,106,100,103,109,105,110,109,110,0
