snp-dists 0.8.2,AF-12-01804-17,AF-12-01818-17,AF-21-06613-17,AF-21-07476-17,AF-21-07494-17,AF-21-07546-17,AF-61-02986-17,AF-61-03121-17,AF-61-03239-17,AF-61-03257-17,AF-61-03316-17
AF-12-01804-17,0,9,91,7,9,18,5,7,8,6,28
AF-12-01818-17,9,0,92,8,10,19,6,8,9,7,29
AF-21-06613-17,91,92,0,88,86,95,88,88,91,89,105
AF-21-07476-17,7,8,88,0,6,15,4,2,7,5,25
AF-21-07494-17,9,10,86,6,0,13,6,6,9,7,23
AF-21-07546-17,18,19,95,15,13,0,15,15,18,16,32
AF-61-02986-17,5,6,88,4,6,15,0,4,5,3,25
AF-61-03121-17,7,8,88,2,6,15,4,0,7,5,25
AF-61-03239-17,8,9,91,7,9,18,5,7,0,2,28
AF-61-03257-17,6,7,89,5,7,16,3,5,2,0,26
AF-61-03316-17,28,29,105,25,23,32,25,25,28,26,0
