snp-dists 0.8.2,AF-12-00295-18,AF-12-01748-17,AF-21-07278-17,AF-21-07339-17,AF-21-07375-17,AF-21-07399-17,AF-21-07452-17,AF-21-07541-17,AF-21-07549-17,AF-21-07568-17,AF-21-07570-17,AF-61-03231-17
AF-12-00295-18,0,146,145,145,146,143,145,145,139,143,141,147
AF-12-01748-17,146,0,15,15,8,13,15,15,9,33,11,17
AF-21-07278-17,145,15,0,14,15,10,14,14,8,32,10,16
AF-21-07339-17,145,15,14,0,15,12,14,14,8,26,10,16
AF-21-07375-17,146,8,15,15,0,13,15,15,9,33,11,17
AF-21-07399-17,143,13,10,12,13,0,12,12,6,30,8,14
AF-21-07452-17,145,15,14,14,15,12,0,6,8,32,4,16
AF-21-07541-17,145,15,14,14,15,12,6,0,8,32,4,16
AF-21-07549-17,139,9,8,8,9,6,8,8,0,26,4,10
AF-21-07568-17,143,33,32,26,33,30,32,32,26,0,28,34
AF-21-07570-17,141,11,10,10,11,8,4,4,4,28,0,12
AF-61-03231-17,147,17,16,16,17,14,16,16,10,34,12,0
