snp-dists 0.8.2,AF-21-00819-17,AF-21-00939-17,AF-21-07150-17,AF-21-07307-17,AF-21-07466-17,AF-61-03219-17
AF-21-00819-17,0,115,111,116,113,122
AF-21-00939-17,115,0,6,1,8,21
AF-21-07150-17,111,6,0,7,4,17
AF-21-07307-17,116,1,7,0,9,22
AF-21-07466-17,113,8,4,9,0,19
AF-61-03219-17,122,21,17,22,19,0
