snp-dists 0.8.2,AF-12-00223-21,AF-12-00224-21,AF-12-00232-21,AF-12-00234-21,AF-12-00236-21,AF-12-01281-20,AF-12-01340-20,AF-12-01342-20,AF-21-05084-21,AF-21-05143-21,AF-21-05802-20,AF-61-03513-20,AF-61-03644-20,AFT-21-06837-21
AF-12-00223-21,0,16,22,21,24,28,18,18,29,23,17,14,28,441
AF-12-00224-21,16,0,22,25,24,28,18,18,29,25,21,10,28,441
AF-12-00232-21,22,22,0,23,6,22,16,12,23,7,15,24,22,435
AF-12-00234-21,21,25,23,0,25,29,17,19,30,24,18,23,29,442
AF-12-00236-21,24,24,6,25,0,24,18,14,25,1,17,26,24,437
AF-12-01281-20,28,28,22,29,24,0,22,18,9,25,21,30,16,441
AF-12-01340-20,18,18,16,17,18,22,0,12,23,19,15,20,22,435
AF-12-01342-20,18,18,12,19,14,18,12,0,19,15,11,20,18,431
AF-21-05084-21,29,29,23,30,25,9,23,19,0,26,22,31,17,442
AF-21-05143-21,23,25,7,24,1,25,19,15,26,0,16,25,25,438
AF-21-05802-20,17,21,15,18,17,21,15,11,22,16,0,19,21,434
AF-61-03513-20,14,10,24,23,26,30,20,20,31,25,19,0,30,443
AF-61-03644-20,28,28,22,29,24,16,22,18,17,25,21,30,0,441
AFT-21-06837-21,441,441,435,442,437,441,435,431,442,438,434,443,441,0
