snp-dists 0.8.2,AF-12-00258-21,AF-12-00295-18,AF-12-01354-20,AF-12-01391-20,AF-21-05127-21,AF-21-05166-21,AF-21-05179-21,AF-21-05180-21,AF-21-05781-20,AF-21-05808-20
AF-12-00258-21,0,145,14,11,7,14,8,14,9,10
AF-12-00295-18,145,0,149,146,142,149,143,149,144,145
AF-12-01354-20,14,149,0,9,11,18,12,0,13,8
AF-12-01391-20,11,146,9,0,8,15,9,9,10,5
AF-21-05127-21,7,142,11,8,0,11,3,11,4,7
AF-21-05166-21,14,149,18,15,11,0,12,18,13,14
AF-21-05179-21,8,143,12,9,3,12,0,12,5,8
AF-21-05180-21,14,149,0,9,11,18,12,0,13,8
AF-21-05781-20,9,144,13,10,4,13,5,13,0,9
AF-21-05808-20,10,145,8,5,7,14,8,8,9,0
