snp-dists 0.8.2,AF-21-05110-21,AF-21-05198-21,AF-21-05774-20,AF-61-00017-19
AF-21-05110-21,0,12,14,156
AF-21-05198-21,12,0,12,154
AF-21-05774-20,14,12,0,152
AF-61-00017-19,156,154,152,0
