snp-dists 0.8.2,AF-21-01093-20,AF-21-05146-21,AF-21-05183-21,AF-21-05783-20,AFT-21-05881-21
AF-21-01093-20,0,12,17,20,135
AF-21-05146-21,12,0,17,22,137
AF-21-05183-21,17,17,0,27,142
AF-21-05783-20,20,22,27,0,137
AFT-21-05881-21,135,137,142,137,0
