snp-dists 0.8.2,AF-12-01816-17,AF-12-01881-17,AF-21-00978-17,AF-21-01002-17a,AF-21-01003-17,AF-21-06939-17,AF-21-06995-18,AF-21-07295-17,AF-21-07346-17,AF-21-07358-17,AF-21-07370-17
AF-12-01816-17,0,14,14,14,14,20,109,19,22,13,18
AF-12-01881-17,14,0,10,0,0,16,103,15,10,9,4
AF-21-00978-17,14,10,0,10,10,16,105,15,18,9,14
AF-21-01002-17a,14,0,10,0,0,16,103,15,10,9,4
AF-21-01003-17,14,0,10,0,0,16,103,15,10,9,4
AF-21-06939-17,20,16,16,16,16,0,111,21,24,15,20
AF-21-06995-18,109,103,105,103,103,111,0,110,111,104,107
AF-21-07295-17,19,15,15,15,15,21,110,0,23,14,19
AF-21-07346-17,22,10,18,10,10,24,111,23,0,17,14
AF-21-07358-17,13,9,9,9,9,15,104,14,17,0,13
AF-21-07370-17,18,4,14,4,4,20,107,19,14,13,0
