snp-dists 0.8.2,AF-12-00206-21,AF-12-00226-21,AF-12-00229-21,AF-12-01295-20,AF-12-01331-20,AF-12-01360-20,AF-12-01362-20,AF-12-01363-20,AF-12-01364-20,AF-12-01371-20,AF-12-01399-20,AF-12-01403-20,AF-12-01410-20,AF-21-05073-21,AF-21-05117-21,AF-21-05122-21,AF-21-05125-21,AF-21-05200-21,AF-21-05797-20,AF-21-05804-20,AF-21-05810-20,AF-61-03263-17,AF-61-03547-20,AF-61-03638-20,AF-61-03703-20,AF-61-03735-20,AFH2-21-05599-20
AF-12-00206-21,0,35,4,12,18,3,13,13,39,3,1,45,2,32,9,32,30,13,40,33,34,105,11,14,12,15,84
AF-12-00226-21,35,0,35,37,43,34,38,38,38,34,36,44,33,29,34,31,27,34,39,32,33,104,38,35,33,38,107
AF-12-00229-21,4,35,0,12,18,1,13,13,37,1,5,45,2,32,9,32,30,13,40,33,34,103,11,14,12,15,84
AF-12-01295-20,12,37,12,0,20,11,11,15,41,11,13,47,10,34,11,34,32,15,42,35,36,107,15,16,14,17,86
AF-12-01331-20,18,43,18,20,0,17,21,21,47,17,19,53,16,40,17,40,38,21,48,41,42,113,21,22,20,23,92
AF-12-01360-20,3,34,1,11,17,0,12,12,36,2,4,44,1,31,8,31,29,12,39,32,33,102,10,13,11,14,83
AF-12-01362-20,13,38,13,11,21,12,0,16,42,12,14,48,11,35,12,35,33,16,43,36,37,108,16,17,15,18,87
AF-12-01363-20,13,38,13,15,21,12,16,0,42,12,14,48,11,35,12,35,33,16,43,36,37,108,16,17,15,18,87
AF-12-01364-20,39,38,37,41,47,36,42,42,0,38,40,44,37,35,38,31,33,38,39,32,33,106,42,39,37,42,111
AF-12-01371-20,3,34,1,11,17,2,12,12,38,0,4,44,1,31,8,31,29,12,39,32,33,104,10,13,11,14,83
AF-12-01399-20,1,36,5,13,19,4,14,14,40,4,0,46,3,33,10,33,31,14,41,34,35,106,12,15,13,16,85
AF-12-01403-20,45,44,45,47,53,44,48,48,44,44,46,0,43,41,44,37,39,44,45,38,39,114,48,45,43,48,117
AF-12-01410-20,2,33,2,10,16,1,11,11,37,1,3,43,0,30,7,30,28,11,38,31,32,103,9,12,10,13,82
AF-21-05073-21,32,29,32,34,40,31,35,35,35,31,33,41,30,0,31,28,24,31,36,29,30,101,35,32,30,35,104
AF-21-05117-21,9,34,9,11,17,8,12,12,38,8,10,44,7,31,0,31,29,12,39,32,33,104,12,13,11,14,83
AF-21-05122-21,32,31,32,34,40,31,35,35,31,31,33,37,30,28,31,0,26,31,28,21,14,101,35,32,30,35,104
AF-21-05125-21,30,27,30,32,38,29,33,33,33,29,31,39,28,24,29,26,0,29,34,27,28,99,33,30,28,33,102
AF-21-05200-21,13,34,13,15,21,12,16,16,38,12,14,44,11,31,12,31,29,0,39,32,33,104,16,11,7,16,85
AF-21-05797-20,40,39,40,42,48,39,43,43,39,39,41,45,38,36,39,28,34,39,0,29,30,109,43,40,38,43,112
AF-21-05804-20,33,32,33,35,41,32,36,36,32,32,34,38,31,29,32,21,27,32,29,0,23,102,36,33,31,36,105
AF-21-05810-20,34,33,34,36,42,33,37,37,33,33,35,39,32,30,33,14,28,33,30,23,0,103,37,34,32,37,106
AF-61-03263-17,105,104,103,107,113,102,108,108,106,104,106,114,103,101,104,101,99,104,109,102,103,0,108,105,103,108,177
AF-61-03547-20,11,38,11,15,21,10,16,16,42,10,12,48,9,35,12,35,33,16,43,36,37,108,0,17,15,18,87
AF-61-03638-20,14,35,14,16,22,13,17,17,39,13,15,45,12,32,13,32,30,11,40,33,34,105,17,0,10,17,86
AF-61-03703-20,12,33,12,14,20,11,15,15,37,11,13,43,10,30,11,30,28,7,38,31,32,103,15,10,0,15,84
AF-61-03735-20,15,38,15,17,23,14,18,18,42,14,16,48,13,35,14,35,33,16,43,36,37,108,18,17,15,0,87
AFH2-21-05599-20,84,107,84,86,92,83,87,87,111,83,85,117,82,104,83,104,102,85,112,105,106,177,87,86,84,87,0
